2024-07-08 09:29:17.009 | WARNING  | common.read_exce_yaml_caes:get_excle_all_caes:43 - 这个文件【D:\rxx\./data/env_test/case_excle/~$case_data.xlsx】无法读取,原因:“[Errno 13] Permission denied: 'D:\\rxx\\./data/env_test/case_excle/~$case_data.xlsx'”,关闭excle再试试…… 
2024-07-08 09:29:17.245 | WARNING  | conftest:env_url:23 - 执行环境为：【test】 http://portal-test.haierschool.cn/
2024-07-08 09:29:17.251 | INFO     | conftest:start_end:28 - ===============================================================================================华丽的分割线【开始】===============================================================================================
2024-07-08 09:29:17.264 | INFO     | common.condition:skip_if:25 - 
2024-07-08 09:29:17.271 | INFO     | common.api_request:api_request:130 - 接口地址：http://portal-test.haierschool.cn/v/login
2024-07-08 09:29:17.271 | INFO     | common.api_request:api_request:131 - 请求头：{}
2024-07-08 09:29:17.272 | INFO     | common.api_request:api_request:132 - 请求方法：post
2024-07-08 09:29:17.274 | INFO     | common.api_request:api_request:133 - 参数类型：json
2024-07-08 09:29:17.274 | INFO     | common.api_request:api_request:134 - 请求参数：{'username': '22058381', 'password': 'Rxx7758521', 'sysType': '2'}
2024-07-08 09:29:17.275 | INFO     | common.api_request:api_request:135 - 上传文件：{}
2024-07-08 09:29:17.754 | INFO     | common.api_request:api_request:149 - 返回响应：{'msg': '操作成功', 'code': 200, 'mustUpdatePwd': False, 'userId': 3289, 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6IjBkNmIyNTJlLTU4MWMtNDExZC1hYWFhLTA5NjY0NmY5YmI1NSJ9.yNgQWr6klMaZCAJ_FhQg5bUiqwM_bR_iabxH2qhEec79NaYiDTsMVrdPjUXnXIUHlGlmfuynJNtlNKJIPsQ1YQ'}
2024-07-08 09:29:17.757 | INFO     | common.assert_api:assert_api:19 - {'msg': '操作成功', 'code': 200, 'mustUpdatePwd': False, 'userId': 3289, 'token': 'eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6IjBkNmIyNTJlLTU4MWMtNDExZC1hYWFhLTA5NjY0NmY5YmI1NSJ9.yNgQWr6klMaZCAJ_FhQg5bUiqwM_bR_iabxH2qhEec79NaYiDTsMVrdPjUXnXIUHlGlmfuynJNtlNKJIPsQ1YQ'}
2024-07-08 09:29:17.762 | INFO     | common.assert_api:assert_api:26 - 提取参数路径：{"token": "$.token"}
2024-07-08 09:29:17.762 | INFO     | common.assert_api:assert_api:27 - 参数池：{'token': 'eyJhbGciOiJIUzUxMiJ9.eyJsb2dpbl91c2VyX2tleSI6IjBkNmIyNTJlLTU4MWMtNDExZC1hYWFhLTA5NjY0NmY5YmI1NSJ9.yNgQWr6klMaZCAJ_FhQg5bUiqwM_bR_iabxH2qhEec79NaYiDTsMVrdPjUXnXIUHlGlmfuynJNtlNKJIPsQ1YQ', 'username': 'admin', 'password': 'leyaun@2024', 'url': 'http://portal-test.haierschool.cn/', 'env': 'test'}
2024-07-08 09:29:17.763 | INFO     | common.assert_api:assert_api:28 - 断言内容：[[200,"==","$.code","int"]]
2024-07-08 09:29:38.327 | INFO     | conftest:start_end:30 - ===============================================================================================华丽的分割线【结束】===============================================================================================
2024-07-08 09:29:38.351 | INFO     | conftest:pytest_terminal_summary:60 - 用例总数: 4
2024-07-08 09:29:38.352 | SUCCESS  | conftest:pytest_terminal_summary:61 - 通过用例: 0
2024-07-08 09:29:38.353 | ERROR    | conftest:pytest_terminal_summary:62 - 异常用例数: 0
2024-07-08 09:29:38.353 | ERROR    | conftest:pytest_terminal_summary:63 - 失败用例数: 0
2024-07-08 09:29:38.354 | WARNING  | conftest:pytest_terminal_summary:64 - 跳过用例数: 0
2024-07-08 09:29:38.355 | INFO     | conftest:pytest_terminal_summary:65 - 用例执行时长: 22.05 s
2024-07-08 09:29:38.355 | INFO     | conftest:pytest_terminal_summary:73 - 用例成功率:0.0
